state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,customer service calls,churn
WV,92,510,335-7257,no,yes,16,99,31.28,134,6.49,96,8.33,3,3.43,2,FALSE
MN,80,415,332-2137,no,no,0,110,17.99,88,3.73,87,8.53,5,3.54,0,FALSE
AL,134,415,352-2998,no,no,0,110,30.26,64,13.07,105,10.65,4,3.16,1,FALSE
PA,77,510,346-6941,no,yes,24,74,25.4,72,10.53,84,7.84,6,2.73,1,FALSE
DE,147,510,400-2203,no,no,0,104,35.6,78,11.26,123,6.72,3,3.05,2,FALSE
MO,74,415,421-2955,no,no,0,105,29.26,99,17.99,105,8.2,6,3.13,1,FALSE
IL,138,510,331-6629,yes,no,0,82,28.78,147,18.52,77,8.29,9,2.54,1,FALSE
FL,143,415,343-6314,no,no,0,117,20.25,136,24.45,100,10.04,4,3.29,0,FALSE
HI,64,415,414-6638,no,no,0,147,33.01,87,14.74,114,12.09,2,1.49,2,FALSE
ME,120,510,350-5883,no,no,0,56,33.8,73,19.56,81,5.39,3,2.67,2,FALSE
CO,121,408,409-4447,yes,no,0,94,28.51,121,7.96,115,10.86,1,3.62,3,TRUE
NH,88,415,376-4856,no,no,0,86,34.37,93,18.43,99,10.77,2,3.19,2,FALSE
SC,87,408,335-1874,no,no,0,106,54.83,93,17.39,128,8.38,4,2.54,2,TRUE
IN,100,510,397-6255,no,no,0,107,36.75,84,18.33,127,6.23,3,2.75,0,FALSE
FL,104,415,381-5047,no,no,0,116,12.99,74,9.83,94,10.18,3,2.54,3,FALSE
GA,27,510,403-6850,no,no,0,75,12.36,117,17.73,71,2.96,3,2.67,1,FALSE
IL,81,415,375-3658,no,yes,31,100,35.77,97,19.17,120,7.59,4,2.62,0,FALSE
NC,64,510,341-2603,yes,yes,33,93,21.62,104,13.85,109,11.13,13,2.19,0,FALSE
VT,107,510,342-5062,no,yes,28,79,34.31,128,25.92,133,10.15,8,3.21,1,FALSE
DC,88,415,354-1558,no,yes,17,78,37.32,94,18.88,92,8.47,5,4.35,1,FALSE
VT,111,408,351-9537,no,no,0,112,16.88,136,22.99,94,10.14,6,2.43,3,FALSE
NV,77,415,401-1252,no,no,0,114,40.66,115,12.75,81,7.24,2,2.78,5,FALSE
OR,67,415,366-9538,yes,no,0,58,20.55,88,19.98,130,4.28,11,3.08,2,FALSE
AL,102,408,364-7622,no,no,0,81,38.2,112,11,109,7.54,6,4.27,1,FALSE
ND,146,408,393-9918,no,yes,19,88,30.02,66,13.83,98,9.7,6,3.94,1,FALSE
FL,144,415,376-4484,no,yes,51,98,48.26,109,16.32,85,8.83,4,2.7,1,FALSE
NE,96,415,410-6791,no,no,0,92,30.7,114,16.23,125,13.3,4,2.78,1,TRUE
ND,70,415,343-2392,no,yes,31,101,21.4,102,16.69,75,11.37,4,2.78,1,FALSE
ME,149,408,408-4323,no,no,0,79,40.39,107,16.35,111,9.33,9,2.46,0,FALSE
IL,129,415,395-1718,no,no,0,91,33.73,106,22.5,101,5.01,2,2.48,2,FALSE
WA,166,408,354-9492,no,no,0,110,46.63,109,4.5,119,11.07,5,2.94,0,FALSE
MA,136,408,367-8168,yes,no,0,89,33.93,96,17.97,84,3.26,4,2.97,3,TRUE
KS,149,510,340-3500,no,no,0,91,37.01,74,23.25,99,10.21,3,2.59,3,FALSE
RI,70,415,369-4962,no,no,0,96,22.9,90,20.05,113,11.71,6,2.05,3,FALSE
MO,120,415,334-8967,no,yes,24,73,36.16,103,21.89,119,10.25,13,2.62,2,FALSE
IA,66,510,402-2377,no,no,0,135,43.57,106,15.32,135,8.43,7,1.67,2,FALSE
WY,104,408,366-3917,no,no,0,133,31.21,98,10.26,112,9.68,2,3.43,1,FALSE
NV,160,415,333-3531,no,no,0,90,29.95,115,16.66,95,11.88,4,2.48,1,FALSE
WI,129,415,333-8954,no,yes,37,94,34.85,103,14.06,81,8.32,8,3.16,1,FALSE
AL,93,408,374-9203,no,no,0,114,45.54,74,18.96,90,11.82,3,3.05,3,TRUE
HI,169,415,334-3289,no,no,0,111,30.46,130,14.89,92,10.29,6,2.67,2,FALSE
MO,58,415,353-7822,no,no,0,145,25.4,105,16.7,108,9.43,3,4.02,1,FALSE
CA,75,510,350-1422,no,yes,38,132,27.81,113,12.47,115,15.56,3,3.54,3,FALSE
MO,45,408,385-8406,no,no,0,71,35.29,94,12.98,125,9.8,13,3.35,1,FALSE
CT,155,510,380-7277,no,no,0,108,28.12,103,15.61,108,3.61,4,2.4,3,FALSE
MD,52,415,352-1798,no,no,0,114,35.67,82,14.56,119,6.96,9,2.67,4,FALSE
OH,119,415,385-7922,no,yes,27,128,37.42,133,22.8,80,6.59,3,3,0,FALSE
NV,86,510,353-7730,no,no,0,72,24.02,95,13.12,91,9.48,5,2.21,1,FALSE
MD,42,408,337-7163,no,no,0,89,33.41,123,20.51,105,6.44,7,1.08,0,FALSE
NE,127,510,348-5567,yes,no,0,114,30.75,118,17.81,105,11.25,4,2,2,FALSE
OH,123,408,420-9575,no,no,0,150,17.85,90,21.39,93,11.61,5,4.02,0,FALSE
MA,98,510,366-3358,no,no,0,119,46.14,102,16.18,118,12.81,6,3,4,TRUE
OK,149,510,359-9972,no,yes,43,79,35.14,122,14.84,80,10.87,3,2.94,1,FALSE
MA,160,408,387-3332,no,no,0,109,28.36,117,20.06,77,13.84,1,2.51,1,FALSE
WA,103,415,354-6960,no,no,0,107,34.83,102,11.49,106,9.37,3,2.81,5,FALSE
HI,132,415,405-3335,no,yes,15,128,26.28,106,20.88,90,6.69,4,2.46,1,FALSE
CO,137,415,379-4257,no,no,0,107,21.59,75,27.47,127,6.48,2,2.03,1,FALSE
FL,129,415,355-4992,yes,no,0,78,45.46,85,17.36,146,5.03,4,1.59,1,FALSE
WI,62,415,383-6373,no,no,0,66,47.77,108,13.65,74,3.51,0,0,1,FALSE
ID,122,510,382-7993,no,yes,33,96,46.04,110,18.73,104,7.65,8,3.19,4,FALSE
WY,32,408,422-5865,no,no,0,82,29.1,102,15.78,64,9.15,7,2.75,1,FALSE
GA,86,510,410-9961,no,no,0,82,21.1,120,17.22,119,13.03,8,1.81,3,FALSE
FL,130,415,343-9946,no,no,0,113,27.68,111,24.68,140,5.17,3,1.94,1,FALSE
WY,42,408,357-7060,no,no,0,84,24.87,113,21.75,117,2.03,12,2.16,1,FALSE
DE,73,415,355-9541,no,no,0,85,43.32,80,12.19,102,6.93,7,4.05,2,FALSE
ME,66,408,378-4145,no,yes,26,108,43.33,135,20.67,95,8.59,3,1.46,2,FALSE
DC,103,510,386-2317,no,yes,31,124,18.31,104,16.06,98,8.83,3,2.4,0,FALSE
IA,128,408,335-8146,no,no,0,75,27,91,22.51,77,12.15,7,2.05,1,FALSE
CO,104,415,377-2235,no,no,0,113,31.09,85,20.37,104,10.34,4,1.49,2,FALSE
MN,103,415,386-9141,no,no,0,112,33.75,90,3.61,124,8.06,5,3.35,0,FALSE
VT,124,415,416-5623,no,no,0,72,30.33,134,19.86,91,8.07,2,3.24,0,FALSE
AZ,87,510,327-3053,no,no,0,91,18.85,115,13.47,131,9.34,5,1.67,1,FALSE
LA,109,415,395-6195,no,yes,27,85,28.37,92,18.8,97,8.88,4,3.32,1,TRUE
MO,167,415,397-8772,yes,no,0,91,41.62,105,5.17,110,7.95,3,2.89,2,FALSE
ME,97,510,346-7656,no,no,0,96,20.54,101,14.43,63,8.73,3,3.21,4,TRUE
MD,106,415,343-2350,no,no,0,118,28.1,101,17.85,93,8.42,3,2.3,2,FALSE
VT,125,415,372-4722,no,no,0,113,21.54,131,13.22,112,9.28,7,3.89,2,FALSE
DC,108,408,399-8615,no,yes,35,106,36.7,107,17.05,107,8.79,7,4.19,0,FALSE
WY,125,415,379-8248,no,no,0,132,23.82,126,17.82,77,11.88,2,2.16,1,FALSE
VA,89,415,414-6219,no,yes,32,113,35.68,104,21.23,92,10.09,7,2.35,1,FALSE
VA,72,510,387-1343,yes,yes,29,114,23.77,91,11.75,88,9.95,6,1.49,0,FALSE
CT,23,510,370-5527,no,no,0,107,54.67,115,21.39,158,6.35,3,3.05,2,TRUE
HI,149,510,393-8736,no,no,0,61,28.32,107,18.6,131,9.37,6,2.21,7,FALSE
WI,73,415,402-7626,no,no,0,90,36.41,78,16.73,112,7.11,8,1.59,0,FALSE
MD,61,415,370-2688,no,no,0,123,44.2,127,17.89,70,10.56,3,2.43,1,TRUE
WV,161,415,418-9036,no,no,0,113,32.62,87,6.03,107,9.22,4,3.62,4,TRUE
VT,73,408,417-2035,no,no,0,95,36.21,104,16.05,89,6.13,3,3.65,0,FALSE
UT,118,415,355-3602,no,yes,24,83,20.08,72,9.32,73,11.05,2,4.56,1,FALSE
CO,23,408,393-4027,no,no,0,89,32.33,108,14.14,73,9.89,4,4.05,6,FALSE
NC,127,415,418-5141,no,yes,25,95,13.97,109,13.88,104,11.92,6,1.38,0,FALSE
NJ,42,415,406-1247,no,yes,32,80,27.85,123,15.11,106,8.57,5,2.19,0,FALSE
AR,118,415,402-3892,no,no,0,145,45.53,121,26.89,91,9.39,11,3.89,5,TRUE
IA,45,510,332-2965,no,no,0,91,27.17,86,10.23,93,7.34,3,2.86,2,FALSE
GA,50,408,377-1218,no,yes,24,129,36.43,55,24.63,130,14.06,4,2.86,1,FALSE
MO,179,510,355-2464,no,no,0,123,48.84,114,24.48,112,11.97,4,2.84,0,TRUE
MO,152,408,404-4611,no,no,0,122,17.2,87,12.04,124,8.93,3,2.03,2,FALSE
WY,105,415,373-2339,no,no,0,74,17.48,125,23.94,113,10.26,5,3.56,2,FALSE
HI,72,415,410-3503,no,no,0,97,18.55,96,9.83,84,13.31,6,2.24,0,FALSE
PA,52,408,410-4739,no,no,0,67,36.7,108,18.45,130,15.43,2,1.4,1,FALSE
TX,125,415,365-3562,no,no,0,110,34.58,97,10.94,113,8.57,4,2.97,1,FALSE
VA,143,510,387-7641,no,no,0,113,18.72,59,14.37,94,7.5,2,2.48,1,FALSE
RI,65,415,385-9744,no,no,0,51,18.87,84,18.68,89,9.09,14,1.19,1,FALSE
WI,80,415,398-5006,no,no,0,121,40.78,51,12.1,106,16.39,5,2.51,1,FALSE
MS,1,415,408-3977,no,no,0,107,24.62,66,9.56,79,9.84,3,3.73,1,FALSE
KY,60,408,334-2729,no,no,0,134,23.02,85,17.5,103,9.18,4,2.13,1,FALSE
NC,43,415,334-7685,no,no,0,134,14.31,103,6.87,79,8.82,2,2.92,1,FALSE
NV,143,415,350-9228,no,no,0,127,35.55,80,9.02,90,8.08,6,3.78,0,FALSE
UT,81,415,407-5774,no,yes,24,117,22.12,61,16.66,123,6.27,5,3.08,0,FALSE
ME,205,510,413-4039,no,yes,24,139,29.89,98,13.18,64,8.13,5,2.11,2,FALSE
HI,24,415,343-2077,no,no,0,104,41.12,112,12.34,105,9.65,5,1.78,1,FALSE
OH,74,415,336-5661,no,no,0,106,23.24,105,19.43,114,11.94,4,2.65,0,FALSE
WV,77,510,355-4143,no,no,0,68,11.51,86,16.63,137,10.64,2,3.24,1,FALSE
OK,74,415,366-5918,no,no,0,87,34.07,105,26.28,118,6.84,2,2.7,1,FALSE
KY,74,510,368-7555,yes,no,0,103,21.39,96,17.65,143,9.33,4,3.81,1,TRUE
AL,200,408,408-2119,no,no,0,87,21.79,105,11.32,123,7.99,2,3.02,1,FALSE
MD,86,408,329-2789,no,no,0,88,38.47,107,18.96,92,11.5,3,3.51,4,FALSE
NE,91,510,334-1508,no,yes,37,107,27.59,115,19.88,94,12.48,4,2.48,0,FALSE
DC,76,415,337-1506,no,no,0,121,38.15,97,12.57,74,8.27,2,1.81,2,FALSE
TX,130,415,396-8400,no,no,0,127,20.49,52,16.12,107,12.15,2,3.86,1,FALSE
OH,56,408,349-2654,no,no,0,90,15.49,115,15.24,89,13.53,8,3.21,2,FALSE
DE,117,415,417-2716,no,no,0,137,28.7,107,20.52,106,9.22,4,4.19,0,FALSE
IA,63,510,402-1725,no,no,0,81,26.1,115,24.42,85,10.36,5,1.76,2,FALSE
VT,126,415,403-3229,no,no,0,88,38.45,114,11.93,110,9.4,2,1.73,0,FALSE
OR,132,510,353-6056,no,no,0,107,32.62,127,17.59,88,12.24,2,3.4,1,FALSE
NV,81,415,399-9802,no,yes,28,147,28.54,105,16.21,103,8.69,6,2.48,4,TRUE
NC,122,415,366-7069,no,no,0,88,30.6,77,12.33,120,10.52,6,3.11,2,FALSE
NJ,46,408,332-5949,no,no,0,67,43.76,91,22.19,107,9.2,5,3.62,2,TRUE
MN,150,415,393-6376,no,yes,28,75,29.65,80,14.44,130,9.07,4,2.97,1,FALSE
ID,99,408,354-7025,no,no,0,83,27.15,121,13.21,114,11.51,3,2.27,1,FALSE
AL,87,408,351-6585,no,no,0,124,40.32,87,18.92,81,7.8,3,2.97,1,FALSE
AK,108,415,330-5462,no,no,0,129,17.51,103,20.6,89,7.66,3,2.13,1,FALSE
VT,101,415,407-2292,no,no,0,89,26.15,89,19.89,77,8.83,2,3.13,4,FALSE
PA,53,415,340-3011,no,no,0,86,34.87,95,13.64,142,6.73,2,2.89,3,FALSE
AK,132,415,345-9153,no,yes,39,93,29.87,94,15.91,118,10.15,3,2.32,2,FALSE
CA,158,510,379-5503,no,no,0,123,26.5,112,19.06,116,9.95,8,2.32,2,FALSE
MS,114,415,389-6790,no,yes,34,109,26.25,142,18.82,103,9.38,5,2.78,0,FALSE
AR,77,415,408-3610,no,yes,23,73,35.65,63,15.61,111,9.25,3,1.92,2,FALSE
NV,144,415,375-8238,yes,no,0,69,25.5,73,24.3,121,8.58,15,2.54,0,FALSE
AL,91,510,378-5633,no,yes,23,97,39.51,88,15.81,128,8.57,3,3.32,3,FALSE
GA,58,408,389-9120,no,no,0,100,28.12,87,9.83,118,8.72,5,3.46,2,FALSE
AR,5,415,380-2758,no,no,0,106,33.86,12,15.92,85,9.63,3,3.59,3,FALSE
MA,97,408,402-2728,no,no,0,81,36.99,51,27.24,110,6.78,3,1.13,0,FALSE
NJ,107,415,354-9062,no,no,0,95,36.06,88,12.76,111,9.89,2,2.08,3,FALSE
MO,142,415,417-2054,no,yes,30,75,26.18,97,14.09,83,12.15,5,2.92,1,FALSE
NY,9,408,353-1941,no,yes,31,130,32.95,98,17.22,102,8.6,2,3.59,1,FALSE
AZ,73,415,328-1522,no,no,0,130,29.82,105,21.09,85,5.51,4,3.29,0,FALSE
NJ,48,510,408-4529,no,yes,22,63,25.84,131,22,109,11.84,5,4.24,2,TRUE
WV,43,408,417-5320,no,no,0,147,39.13,121,15.87,100,5.78,3,2.48,0,FALSE
NM,122,408,370-9755,no,yes,33,103,29.73,105,21.1,116,7.41,3,3.65,1,TRUE
SC,93,415,372-4835,no,no,0,68,32.33,64,22.29,92,5.85,4,2.38,0,FALSE
VT,85,415,334-6605,no,no,0,122,29.99,123,19.12,50,9.88,1,3.11,1,FALSE
TN,59,415,399-5564,no,no,0,95,27.35,65,21.35,97,12.3,5,1.35,3,FALSE
LA,87,415,392-2887,no,no,0,90,38.88,99,13.86,90,6.93,3,3.19,1,FALSE
OH,137,408,328-2110,no,no,0,90,24.48,100,15.44,93,5.76,2,3.32,0,FALSE
OR,21,510,383-5976,no,yes,31,90,23.1,84,23.04,89,8.06,7,2.57,6,FALSE
DE,129,510,332-6181,no,no,0,118,56.83,104,16.33,83,8.59,6,2.81,0,TRUE
KY,104,415,330-5255,no,no,0,77,22.19,117,11.15,63,11.91,6,3.51,0,FALSE
GA,93,408,413-5190,no,yes,21,105,22.81,128,13.81,90,8.4,2,3.19,4,TRUE
VT,63,415,394-7447,no,no,0,102,47.26,114,22.64,118,10.08,4,3.54,4,TRUE
OR,161,415,353-7096,no,no,0,70,17.92,122,18.26,126,10.06,5,2.11,0,FALSE
TX,50,510,395-6002,no,no,0,94,32.11,104,17.33,124,6.83,8,3.13,3,FALSE
MO,103,408,372-9816,no,yes,24,85,19.01,102,20.37,81,12.07,4,1.86,1,FALSE
ND,84,415,400-7253,no,yes,33,106,27.05,101,12.73,108,9.6,18,3.51,1,FALSE
MN,92,510,344-7470,no,no,0,105,36.11,118,19.09,105,9.96,4,2.43,1,FALSE
NV,77,415,378-8572,no,no,0,112,24.19,111,26.04,82,8.84,1,2.67,1,FALSE
NY,64,415,345-9140,yes,no,0,55,58.96,79,21.21,102,12.39,9,3.59,1,TRUE
FL,159,415,340-5460,no,yes,15,102,19.36,146,12.35,137,8.78,9,3.19,1,FALSE
KS,110,415,369-8024,yes,yes,27,103,45.54,74,22.38,106,8.01,2,2.24,1,TRUE
NV,138,510,395-8595,no,no,0,117,29.14,128,9.79,115,10.1,4,4.59,3,FALSE
NV,178,408,359-4587,no,no,0,150,46.82,62,15.94,126,6.62,3,3.67,1,FALSE
SC,38,415,375-5439,no,yes,31,118,33.52,70,21.24,104,13.45,2,1.05,0,FALSE
MI,50,415,361-3779,no,yes,35,97,32.74,101,11.49,101,9.73,2,2.13,2,FALSE
MI,45,510,375-8934,no,yes,26,104,15.59,119,12.8,103,2.85,5,2.08,1,FALSE
TN,70,510,395-4757,no,no,0,99,21.47,106,12.04,96,11.52,2,2.59,0,FALSE
NY,147,510,421-7205,no,yes,33,107,42.76,110,19.9,87,9.6,6,2.81,3,FALSE
NV,94,510,379-8805,no,no,0,108,32.4,95,12.95,97,6.51,5,2.03,1,FALSE
IL,179,510,348-2150,no,no,0,101,19.74,99,17.15,103,8.19,5,3.13,0,FALSE
MS,116,415,417-9128,no,no,0,91,36.94,95,18.37,76,6.66,3,3.05,2,FALSE
ND,59,510,351-4226,no,no,0,80,30.5,99,19.76,105,7.91,3,3.97,0,FALSE
NC,165,415,330-6630,no,no,0,109,35.31,94,14.01,91,2.45,3,2.13,0,FALSE
MI,133,408,387-9137,no,no,0,138,47.14,117,19.41,103,5.28,4,3.46,2,TRUE
TN,140,415,372-3987,no,no,0,84,21.3,121,14.25,94,11.73,4,2.27,1,FALSE
VT,93,408,408-5183,no,yes,32,91,23.48,72,14.22,115,10.75,3,1.84,2,FALSE
OK,52,510,412-9357,no,yes,38,88,28.78,97,19.2,86,7.74,3,2.21,0,FALSE
DE,64,415,402-3599,no,yes,27,101,34.22,89,12.22,127,6.76,3,3.32,1,FALSE
ND,12,510,379-5211,yes,no,0,117,36.84,126,9.9,110,9.9,4,2.65,2,FALSE
OR,48,415,405-9217,no,no,0,92,32.37,85,26.99,113,6,4,2.24,2,FALSE
NY,181,408,340-9200,no,no,0,91,24.36,58,16.62,95,10.05,7,1.62,1,FALSE
MO,168,415,339-9026,no,yes,42,57,16.56,98,17.31,124,7.83,2,3.08,2,FALSE
FL,155,415,343-4772,no,no,0,111,30.84,92,14.25,122,7.58,3,3.05,3,FALSE
ND,105,510,345-2108,no,no,0,83,41.89,101,21.78,151,7.61,4,1.03,0,FALSE
NY,11,415,401-4650,no,no,0,130,24.38,50,24.6,100,8.73,6,2.62,2,FALSE
ND,182,415,400-3945,no,no,0,111,17.83,120,16.87,91,11.62,5,2.16,2,FALSE
NY,104,415,338-3781,no,no,0,93,26.55,54,16.41,94,10.02,5,3.54,1,FALSE
OH,102,415,342-6316,no,no,0,125,19.52,126,6.96,101,13.69,4,3.24,0,FALSE
AL,122,415,336-5920,no,no,0,96,39.53,120,17.47,91,9.62,2,3.21,0,FALSE
SC,41,415,332-1060,no,no,0,117,24.41,108,12.95,110,8.75,3,2.32,1,FALSE
GA,132,415,418-3426,no,no,0,132,30.04,80,20.75,120,7.93,4,2.46,2,FALSE
WY,76,415,408-6326,no,no,0,148,44.78,69,19.58,101,7.68,5,3.08,1,TRUE
WV,13,415,334-6142,no,no,0,74,24.89,92,12.62,96,9.75,3,3.05,1,FALSE
HI,115,415,336-6128,no,yes,33,72,24.65,157,16.53,138,10.9,3,3.83,2,FALSE
WV,67,408,406-6708,no,no,0,91,28.53,69,14.25,71,4.96,12,2.27,1,FALSE
LA,154,510,388-8670,no,no,0,99,28.37,97,13.17,89,8.52,5,1.94,0,FALSE
AR,100,510,363-5853,no,no,0,87,24.23,88,16.63,117,5.49,8,2.11,2,FALSE
AK,146,510,383-6544,yes,no,0,65,22.61,93,22.34,128,9.64,3,3.02,1,FALSE
DC,148,415,378-2940,no,yes,11,129,42.99,88,24.17,99,11.83,1,3.32,1,FALSE
AL,67,415,338-7683,no,yes,28,94,16.15,73,24.75,114,7.18,2,2.7,2,FALSE
UT,161,510,329-2786,yes,no,0,106,33.01,105,21.2,129,11.47,1,3.48,1,TRUE
KS,70,415,369-9465,no,no,0,114,37.88,113,18.35,122,10.06,0,0,1,FALSE
MN,116,510,337-3769,no,no,0,82,34.31,95,19.68,130,10.17,5,4.46,0,FALSE
VA,99,415,400-6257,no,yes,42,125,36.72,104,19.75,100,9.7,4,2.51,2,TRUE
UT,87,415,411-6663,no,no,0,108,24.87,102,14.6,66,7.54,9,1.43,1,FALSE
IN,87,510,384-3101,no,no,0,85,39.92,91,11.98,93,9.19,5,2.57,1,FALSE
CT,70,408,339-5329,no,no,0,111,33.76,115,18.18,105,7.7,6,2.86,2,FALSE
DE,131,408,388-9944,no,no,0,80,16.05,101,18.28,108,8.09,9,3.54,2,FALSE
VT,119,510,403-1769,no,no,0,74,32.37,113,18.33,111,7.25,1,2.7,2,FALSE
MO,119,408,390-1612,no,yes,32,77,24.24,126,17.7,102,7.69,2,3.24,3,FALSE
RI,87,510,421-7214,yes,no,0,80,22.81,71,14.03,102,7.79,5,2.89,0,FALSE
CA,112,415,338-6962,no,no,0,92,19.02,143,9.69,79,6.61,3,3.81,5,TRUE
RI,75,415,333-9826,no,no,0,89,20.88,104,17.96,91,11.76,2,2.89,2,FALSE
CT,150,510,411-8549,no,no,0,77,32.18,105,18.78,117,10.74,5,2.48,4,FALSE
IN,161,510,381-9234,no,yes,38,112,40.87,102,17.15,112,9.27,6,4.35,0,FALSE
FL,91,510,387-9855,yes,yes,24,112,15.9,128,15.59,133,10.83,3,2.67,0,FALSE
KS,124,415,371-6990,no,no,0,104,26.96,77,17.95,104,8.07,8,2.75,3,FALSE
NY,94,510,417-3046,yes,no,0,109,41.34,88,12.5,99,4.27,4,1.94,4,FALSE
TX,217,408,385-7082,no,no,0,115,29.99,128,13.5,107,13.8,3,2.51,4,FALSE
RI,158,510,365-5886,no,no,0,129,37.55,108,20.59,75,10.5,5,1.73,0,FALSE
NV,102,415,373-5196,no,no,0,87,24.55,128,22.65,59,9.79,7,1.92,0,FALSE
UT,85,510,327-6194,no,no,0,107,36.09,103,19.41,116,7.35,3,2.08,0,FALSE
OK,79,510,381-4565,no,no,0,72,24.99,102,14.08,107,10.94,9,2.27,1,FALSE
MN,139,510,357-9832,no,yes,25,112,16.35,70,15.21,84,8.19,10,3.48,2,FALSE
NC,103,415,396-4845,no,no,0,118,44.78,69,15.22,112,9.66,2,2.78,0,FALSE
OR,98,415,378-6772,yes,no,0,67,2.13,90,21.81,88,7.62,9,2.08,1,FALSE
NH,78,408,353-4296,no,no,0,116,27.59,86,16.35,100,10.83,3,2.73,2,FALSE
AK,50,408,362-8331,no,no,0,107,31.21,118,4.98,99,9.12,3,2.35,1,FALSE
OR,161,415,362-4685,no,no,0,109,30.28,86,12.45,78,6.19,2,2.3,1,FALSE
KS,67,408,383-1431,no,no,0,101,34.24,122,8.3,119,9.11,3,1.89,0,FALSE
WV,86,415,332-2258,no,yes,38,158,20.91,119,11.38,103,6.22,4,3.59,1,FALSE
GA,92,510,375-8304,no,no,0,125,35.36,76,16.91,97,3.44,6,2.32,0,FALSE
NM,174,415,340-5580,no,no,0,72,40.66,124,16.02,116,4.75,3,2.38,1,FALSE
OH,124,510,362-1490,no,no,0,97,32.81,99,7.63,104,7.78,3,4.13,1,FALSE
ND,132,415,336-4281,no,yes,31,101,29.67,105,20.88,76,7.78,9,2.78,1,FALSE
RI,190,415,361-1315,no,yes,26,71,19.84,88,12.4,103,7.88,3,2.67,1,FALSE
HI,101,510,342-5906,no,no,0,127,15.95,104,12.75,116,10.85,2,2.89,1,FALSE
WY,185,415,405-7904,yes,yes,30,114,26.2,106,10.09,105,11.63,3,3.48,2,FALSE
NY,68,415,349-4762,no,yes,29,82,40.72,105,17.32,70,7.55,6,2.67,0,FALSE
KS,117,510,385-3263,no,yes,25,140,36.72,69,19.05,112,12.06,4,3.19,0,FALSE
LA,118,408,405-9496,no,no,0,97,31.86,89,15.11,97,10.5,6,3.29,1,FALSE
PA,124,415,396-6775,no,no,0,119,28.46,143,19.82,115,4.93,5,2.78,0,FALSE
NV,22,510,393-6475,no,no,0,108,27.27,88,18.54,115,8.68,4,3.38,1,FALSE
MN,75,415,379-7779,no,no,0,92,24.34,142,17.77,96,7.79,9,3.21,1,FALSE
PA,134,408,408-8650,no,no,0,122,34.9,155,20.44,107,8.06,9,1.35,1,FALSE
MO,164,408,400-3497,no,yes,25,88,37.25,99,12.88,60,2.25,6,3.86,1,FALSE
NY,44,510,407-9244,no,no,0,77,24.34,114,14.43,77,9.71,4,2.05,1,FALSE
ME,177,415,406-8809,no,no,0,106,39.58,97,14.89,77,9.55,7,3.38,2,FALSE
NH,110,408,358-1778,no,no,0,81,27.54,89,21.04,99,7,8,2.4,0,FALSE
WY,53,415,337-4339,no,yes,27,119,4.4,96,17.55,64,10.26,7,1.76,1,FALSE
NY,108,415,344-7197,no,no,0,123,26.21,86,9.55,75,11.09,4,4.16,4,TRUE
ME,80,408,333-7631,no,no,0,113,54.79,95,18.87,123,7.33,8,1.81,0,TRUE
MN,158,408,372-6623,no,no,0,112,35.68,82,18.81,93,9.45,3,2.21,1,FALSE
OH,114,415,363-2602,no,no,0,88,32.56,78,14.89,118,9.91,0,0,0,FALSE
NC,64,408,387-7757,no,yes,19,150,49.49,123,19.27,67,9.86,2,2.03,1,FALSE
SD,88,415,397-5381,no,no,0,115,36.65,85,18.38,65,7.71,1,3.19,3,FALSE
UT,82,510,406-4604,yes,no,0,101,35.5,87,18.16,86,7.88,6,3.35,3,FALSE
KY,111,415,376-9513,no,no,0,97,43.5,129,17.35,84,7.71,5,3.32,3,FALSE
MT,60,408,360-1852,no,no,0,97,42.96,121,18.79,100,4.95,4,3.35,2,FALSE
NJ,113,408,421-7270,no,no,0,72,22.46,107,21.04,123,11.08,6,1.86,3,FALSE
FL,109,408,371-9482,no,no,0,115,36.89,142,17.6,106,12.06,4,2.21,1,FALSE
IN,105,510,337-4101,no,yes,42,79,17.32,97,18.96,77,10.87,2,3.48,0,FALSE
DE,85,510,420-2796,no,no,0,100,35.96,88,15.69,131,7.39,4,3.59,2,FALSE
AL,131,510,366-4225,no,no,0,86,26.08,81,16.87,83,7.4,3,2.81,0,FALSE
ME,59,510,398-4567,no,no,0,95,28.27,87,20.34,108,5.54,3,2.7,2,FALSE
SD,148,408,388-4571,no,no,0,87,31.48,96,14.48,104,7.43,13,2.57,1,FALSE
VA,210,408,360-8666,no,no,0,121,17.78,71,12.71,67,11.48,8,1.76,2,FALSE
AK,115,415,333-3704,no,no,0,105,41.68,109,13.52,74,10.35,8,1.94,0,FALSE
ID,106,510,383-2566,no,no,0,120,46.65,82,16.88,62,7.24,3,1.62,1,FALSE
RI,93,415,406-5584,no,no,0,78,16.73,129,21.22,114,11.17,4,3.83,1,FALSE
KY,57,415,344-4691,no,yes,29,121,47.58,109,18.96,94,11.33,2,3.51,1,FALSE
ND,98,510,347-9737,no,no,0,127,31.82,88,16.63,129,8.18,4,1.38,1,FALSE
HI,157,415,333-7961,no,no,0,95,46.95,119,14.09,79,6.82,4,0.59,3,FALSE
WI,116,415,364-2439,no,yes,35,104,34.07,89,23.19,100,9.65,4,2.24,1,FALSE
WV,30,510,411-8043,no,no,0,96,27.59,122,20.74,89,8.1,4,2.46,2,FALSE
